GPX - Bright Low G,8001,Clear,Fluorocarbon,Linear,x,x,x,x,,0.0215,0.027,0.03,0.029,0.5461,0.6858,0.7620,0.7366,https://www.oasishumidifiers.com/product/ukulele-strings/,,,,,
GPX - Bright,8000,Clear,Fluorocarbon,Reentrant,,x,x,x,,0.0215,0.027,0.03,0.023,0.5461,0.6858,0.7620,0.5842,https://www.oasishumidifiers.com/product/ukulele-strings/,,,,,
GPX - Warm Low G,8101,Clear,Fluorocarbon,Linear,x,x,x,x,,0.023,0.026,0.03,0.03,0.5842,0.6604,0.7620,0.7620,https://www.oasishumidifiers.com/product/ukulele-strings/,,,,,
GPX - Warm,8100,Clear,Fluorocarbon,Reentrant,,x,x,x,,0.023,0.027,0.03,0.025,0.5842,0.6858,0.7620,0.6350,https://www.oasishumidifiers.com/product/ukulele-strings/,,,,,
GPX - Bright Low G (Smooth),8001SB,Clear,Fluorocarbon,Linear,x,x,x,x,,0.022,0.028,0.03,0.031,0.5588,0.7112,0.7620,0.7874,https://www.oasishumidifiers.com/product/ukulele-strings/,,,,,
GPX - Warm Low G (Smooth),8101SW,Clear,Fluorocarbon,Linear,x,x,x,x,,0.023,0.027,0.03,0.033,0.5842,0.6858,0.7620,0.8382,https://www.oasishumidifiers.com/product/ukulele-strings/,,,,,
