Soprano / Concert,S-1,Dark,Nylon,Reentrant,,x,x,,,0.028,0.032,0.403,0.028,0.7112,0.8128,1.02362,0.7112,https://store.kamakahawaii.com/SearchResults.asp?Cat=56,,,,,
Soprano / Concert Low G,S-1G,Dark,Nylon,Linear,x,x,x,,,0.028,0.032,0.403,0.035,0.7112,0.8128,1.02362,0.889,https://store.kamakahawaii.com/SearchResults.asp?Cat=56,,,,,
Tenor,S-3,Dark,Nylon,Reentrant,,,,x,,0.0285,0.0327,0.041,0.0285,0.7239,0.83058,1.0414,0.7239,https://store.kamakahawaii.com/SearchResults.asp?Cat=56,,,,,
Tenor Low G,S-3G,Dark,Nylon,Linear,x,,,x,,0.0285,0.0327,0.041,0.035,0.7239,0.83058,1.0414,0.889,https://store.kamakahawaii.com/SearchResults.asp?Cat=56,,,,,
Baritone,S-4,Dark,Nylon,Linear,x,,,,x,0.0285,0.0041,0.038,0.0038,0.7239,0.10414,0.9652,0.09652,https://store.kamakahawaii.com/SearchResults.asp?Cat=56,,,,,
