Lava - Soprano,111U,Dark,Nylon,Linear,x,x,,,,,,,,0.600,0.770,0.920,0.670,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/super-nylgut/,3.55,3.29,2.95,3.62,
Lava - Concert,112U,Dark,Nylon,Reentrant,,,x,,,,,,,0.620,0.800,0.950,0.570,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/super-nylgut/,4.47,4.18,3.71,4.15,
Lava - Concert,113U,Dark,Nylon,Linear,x,,x,,,,,,,0.620,0.800,0.950,0.700,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/super-nylgut/,4.47,4.18,3.71,4.4,
Lava - Tenor,114U,Dark,Nylon,Reentrant,,,,x,,,,,,0.650,0.820,0.970,0.700,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/super-nylgut/,6.3,5.62,4.96,5.8,
Lava - Tenor,115U,Dark,Nylon,Linear,x,,,x,,,,,,0.650,0.820,0.970,0.700,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/super-nylgut/,6.3,5.62,4.96,5.63,
Lava - Baritone,116U,Dark,Nylon,Linear,x,,,,x,,,,,0.670,0.840,0.600,0.700,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/super-nylgut/,5.28,4.66,5.03,4.45,DGBE
Lava - Baritone,117U,Dark,Nylon,Reentrant,,,,,x,,,,,0.620,0.800,0.950,0.670,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/super-nylgut/,8.06,7.53,6.69,7.47,
AG x AQ - Soprano,157U,Clear,Nylon,Reentrant,,x,,,,,,,,0.650,0.760,0.980,0.690,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/ag-x-aq/,3.4,2.6,2.7,3,
AG x AQ - Soprano,163U,Clear,Nylon,Linear,,x,,,,,,,,0.650,0.760,0.980,0.950,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/ag-x-aq/,3.4,2.6,2.7,,
AG x AQ - Concert,158U,Clear,Nylon,Reentrant,,,x,,,,,,,0.680,0.790,1.020,0.740,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/ag-x-aq/,3.9,2.9,3.1,3.4,
AG x AQ - Concert,164U,Clear,Nylon,Linear,,,x,,,,,,,0.680,0.790,1.020,0.970,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/ag-x-aq/,3.9,2.9,3.1,,
AG x AQ - Tenor,145U,Clear,Nylon,Reentrant,,,,x,,,,,,0.710,0.810,1.040,0.740,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/ag-x-aq/,6.3,4.6,2.8,2.7,
AG x AQ - Tenor,162U,Clear,Nylon,Linear,,,,x,,,,,,0.710,0.810,1.040,1.000,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/ag-x-aq/,6.3,4.6,2.8,,
AG x AQ - Baritone,159U,Clear,Nylon,Reentrant,,,,,x,,,,,0.710,0.810,0.800,0.700,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/ag-x-aq/,4.9,3.6,2.7,1.5,DGBE
Bionylon - Soprano,57U,Light,Nylon,Reentrant,,x,,,,,,,,0.660,0.840,1.010,0.720,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/bionylon/,3.81,3.46,3.15,3.59,
Bionylon - Soprano,58U,Light,Nylon,Linear,x,x,,,,,,,,0.660,0.840,1.010,0.670,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/bionylon/,3.81,3.46,3.15,3.62,
Bionylon - Concert,59U,Light,Nylon,Reentrant,,,x,,,,,,,0.680,0.880,1.040,0.740,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/bionylon/,4.76,4.48,3.94,4.48,
Bionylon - Concert,60U,Light,Nylon,Linear,x,,x,,,,,,,0.680,0.880,1.040,0.700,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/bionylon/,4.76,4.48,3.94,4.4,
Bionylon - Tenor,63U,Light,Nylon,Reentrant,,,,x,,,,,,0.720,0.900,1.060,0.770,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/bionylon/,6.84,5.99,5.24,6.21,
Bionylon - Tenor,65U,Light,Nylon,Linear,x,,,x,,,,,,0.720,0.900,1.060,0.700,https://aquilacorde.com/en/shop/modern-instrument-string-sets/ukulele-banjouke-en/bionylon/,6.84,5.99,5.24,5.63,
