Soprano / Concert,H-20,Clear,Fluorocarbon,Reentrant,,x,x,,,H-21F - .026,H-22F - .033,H-23F - .035,H-24F - .0307,0.6604,0.8382,0.8890,0.7798,https://www.ghsstrings.com/products/11430-fluorocarbon?category_id=1969715-fluorocarbon
Tenor (Wound 3rd),H-T20,Clear,Fluorocarbon,Reentrant,x,,,x,,H-21F - .026,H-22F - .033,H-T13 - .035w,H-24F - .0307,0.6604,0.8382,0.8890,0.7798,https://www.ghsstrings.com/products/11430-fluorocarbon?category_id=1969715-fluorocarbon
Tenor Fingerstyle (Wound 3rd),H-T20F,Clear,Fluorocarbon,Reentrant,x,,,x,,H-25F - .027,H-26F - .035,H-T13 - .035w,H-24F - .0307,0.6858,0.8890,0.8890,0.7798,https://www.ghsstrings.com/products/11430-fluorocarbon?category_id=1969715-fluorocarbon
Soprano / Concert,H-10,Dark,Nylon,Reentrant,,x,x,,,H-11 - .025,H-12 - .032,H-13 - .036,H-14 - .028,0.6350,0.8128,0.9144,0.7112,https://www.ghsstrings.com/products/11434-nylon?category_id=1969716-nylon
Tenor (Wound 3rd),H-T10,Dark,Nylon,Reentrant,x,,,x,,H-T11 - .028,H-T12 - .036,H-T13 - .035w,H-T14 - .032,0.7112,0.9144,0.8890,0.8128,https://www.ghsstrings.com/products/11434-nylon?category_id=1969716-nylon
Baritone,100,Dark,Nylon,Reentrant,x,,,,x,101 - .028,102 - .036,103 - .029w,104 - .034w,0.7112,0.9144,0.7366,0.8636,https://www.ghsstrings.com/products/11434-nylon?category_id=1969716-nylon
Baritone,H-100,Dark,Nylon,Reentrant,x,,,,x,H-101 - .028,H-102 - .036,H-103 - .027w,H-104 - .034w,0.7112,0.9144,0.6858,0.8636,https://www.ghsstrings.com/products/11434-nylon?category_id=1969716-nylon
Low G (Wound 3rd & 4th),TU LOW G,Dark,Nylon,Linear,x,x,x,x,,H-T11 - .028,H-T12 - .032,H-T13 - .035w,T4S - .029w,0.7112,0.8128,0.8890,0.7366,https://www.ghsstrings.com/products/11436-black-nylon-tenor?category_id=1969716-nylon
